	refexp
2995	middle yellow wall with writing on it
2996	graffitti wall on right
2999	wine bottle that is holding candle
3003	upper left lantern
3004	piece of wall on the left with writing
3006	*head
3008	black square patch on the right wall
3009	lamp on the wall in the middle
3011	people!
3014	glass in front (are those dudes humping)
3015	top right corner
3016	table
3018	glass in middle kinda on the left
3019	people
3020	sky
3021	rock in front
3022	ground 
3023	mountain on right
3024	water to left
3025	the horse in front
3026	first horse
3027	front one
3028	the first horse
3029	sand
3030	rightmost horse
3031	lead horse
3032	first horse with kid wearing red shirt
3033	first horse
3034	sky
3035	left horse
3036	sky
3037	horse facing away from us on right
3038	bottom
3039	guy in blue shirt closest the window
3040	right window
3041	any of the three people on left
3042	chair by window
3043	the wall on the right that is lit by the sun
3044	empty plate front right
3045	rock in the center
3048	left rock on ground
3049	sand bottom center
3051	coulds on right side of top of rock
3052	people any
3054	bottle left
3055	table
3056	top right corner
3057	blackboard
3058	bottom left corner
3059	group of people middle
3060	bldg
3062	sky
3063	sky
3065	mtn
3066	person with back turned
3067	the green patch beside ms purple
3068	bit of pavement by blue coat person on left
3069	large group of people
3070	bottom right corner
3071	stones on left
3072	sky
3073	lamp
3074	mattress on right
3075	lamp
3076	wall white
3077	lamp
3078	a lamp
3079	ugly multi colored spread on left
3080	white bed
3081	lamp
3083	bedside tbale
3084	window
3085	lamp on table
3086	water
3087	water
3088	the sky - any part of the top of the picture
3089	water
3090	sand on left
3091	water
3092	water 
3093	trees next t o yellow building
3094	water
3095	water
3096	grassy area
3097	clouds on left
3098	most bottom right dark area
3100	snow on ground
3102	any man in black
3104	sky top right corner
3105	person nearest camera
3106	girl in middle
3107	water
3108	woman swimming facing us
3109	rocks on top
3111	person on bottom right
3112	top right green
3113	bottom piece of paper on the side of the shelf
3115	papers on side of bookcase click 2nd row far rt
3116	bookshelf on right
3117	glass bookcase back left
3118	in the back the shelf second row blue book 
3119	over juust
3120	pair of light blue books left cabinet center shelf on right
3123	chair right
3124	the middle left paper on the far right shelf's side
3125	top left paper taped to bookshelf
3126	i don't pay attention to race table
3127	blue book on middle right section of bookcase
3128	chair on left
3129	wall on left
3130	bottom shadow
3131	red bag bottom left
3132	wall
3133	the black bag on the ground
3134	sign
3135	group of people
3137	blue sky
3138	whole group of people 
3139	wall
3140	boys face
3141	rightside his hand
3142	his right hand
3143	top right
3144	water
3145	strip of trees in the background
3146	boat
3147	rower in center with blue shirt
3148	pink sky
3149	leftmost person
3150	gravel middle
3151	trees
3152	horse butt on the right
3153	horse ass on right
3154	house
3155	dirt bottom left
3156	far lower right
3157	face
3158	hill
3160	person
3161	green hat in front
3162	yellow shirt in back
3163	extreme top left corner patch of light
3165	left most green hat
3166	brown baseball cap middle
3167	white shirt lady
3168	whiteh at
3170	white area top left
3171	green hat front and center
3172	blue shirt delinguent
3173	boy navy shirt foreground
3174	kid lookin to the right in blue
3175	white cup middle very far left
3176	green hat on pink shirt
3177	boy in back gray shirt
3178	shelves
3179	the little cup on far left held by girl
3180	brown
3181	green bucket hat in very front
3182	girl in white shirt
3183	blue shirt while logo
3184	blue bowl
3185	green fabric on left
3186	green hat on pink shirt
3187	girl in white
3188	kid in pink
3190	black area top right
3191	white thing left to the yellow shirt on left
3192	green hat on right
3193	boy in blue shirt
3194	blue short kid
3195	green hat most foreground
3196	green hat right
3197	white piece of paper over boys head
3198	map at top left
3199	pink shirt girls hat
3200	kid far left middle green hat
3201	green hat on girl in pink shirt
3202	girl in white shirt in the back
3203	road
3204	beach on right
3205	sky
3206	man in red shirt
3207	poeple at bottom of the thing
3209	sign w/ alphabet
3210	baby face
3211	sky right
3212	the lady's face on the left
3213	building right to baby's head
3214	the baby
3215	brown hat left lady
3217	necklace left
3218	pavement at bottom
3219	signs in the right bottom corner
3220	left car
3221	"sign on building ""blanca"""
3222	white car on left
3223	left car
3224	white car on left
3225	right building
3226	the people on the far left bottom corner
3227	center foreground car
3228	car left front
3229	left car
3230	left car white
3231	closest car left one
3232	car at center in foreground
3233	middle car
3234	white car of left
3235	people at bottom left
3236	closest car in center
3237	car front down center
3238	shiny white car 3rd closest
3239	car left
3240	people on the left these seem way buggy
3241	cloud
3242	building left
3243	wall bottom middle
3244	motorcycle
3245	house
3246	far right windows
3247	smallest window on left
3248	bottom left
3249	left lamp light
3250	left lamp
3251	light blue sky middle top
3252	lamp right
3253	left street lamp
3254	lamp middle
3255	left lamp post
3257	middle window center of pic
3260	light post on the right
3262	right lamppost
3264	tree on left
3265	tree on the right
3266	right light
3267	garbage can in back right
3268	ground
3269	dude
3270	midd top door with black window
3271	2nd from left door
3272	3rd window from red pillar
3274	third door in the back from right
3275	red pole
3277	palm trees
3278	very top blue sky
3279	cloudy
3280	sand 
3281	tree trunk sicking out from corner
3282	water right most
3283	first palm tree from the right
3285	first one
3286	middle window top far right building
3287	right white car
3288	3rd window from right
3289	2nd floor window far right
3290	door bottom right
3291	far right white car
3294	the railing 
3295	white building on right middle window
3296	building on right #1 of 3 top windows counting from left
3297	sky
3298	tree on the right
3300	right most white car
3303	trees on the bottom of left building
3304	my bad white car extreme right
3305	white building
3306	tree left
3307	brown bldg
3308	tree area on bottm-mid
3310	mist left ground
3312	waterfall top 
3313	top greens
3314	leaf
3315	leaves lower left
3316	leaves in front
3317	plant closest to us- left bottom
3318	plant foreground left
3319	cement
3320	lady
3321	the train
3322	k sign
3323	white top right
3324	any of the cage
3326	tree
3327	island
3328	tree
3329	water middle
3330	the mountain in the background
3332	sky
3333	far right person
3334	red jacket
3335	man second from right
3336	man in red
3337	guy in red jacket
3338	man in red jacket
3339	guy left
3340	cloudy white area at top of pic
3341	guy on the right
3342	curtain
3343	top bed
3344	lamp on table
3345	floor by beds
3346	bed right
3347	window
3348	wall on right
3349	chair
3350	center dancing person 
3351	yup
3352	people left
3354	two people in the middle white shirt 
3355	exactly
3356	the boat on the bottom right
3357	center waterfall foreground
3358	sky
3359	waterfall far leftbttom
3361	water fall one of the 2 on the right side
3363	right side waterfalls
3364	lake
3365	big part of waterfall
3366	greenery on right
3367	on left largest water fall
3368	lower left waterfall
3369	right waterfall
3370	left most waterfall
3371	waterfall on right
3372	2 waterfall on the top left
3373	chair front
3374	spooky indeed 3 left people
3376	guy in white shirt
3378	front area of table
3379	ceiling
3380	man center
3381	bottom left canes
3382	bottom right
3383	small bundle of bamboo at top center
3384	very top green thing
3385	top cane
3386	bottom left bunch
3387	very top canes
3388	very top bundle
3389	bottom left bundlel
3390	right middle bamboo
3391	top bamboo
3392	bottom left bamboo clump
3394	bottom left bunch
3395	front left table
3397	top left light
3398	peple on left
3399	guy in white shirt
3400	fern
3401	table top
3402	front lamp
3403	metallic thing on the table
3404	light leftmost
3405	bottom left corner
3406	left most chair
3407	roof
3409	chair on bottom left corner
3410	left mans chair
3411	chair at very bottom center of image
3412	tiled floor
3413	bottom left corner
3414	wall dont fuck the game u)p
3415	wall
3416	people
3417	animal on ground
3418	monkey on the leaves
3419	lower koala
3420	painting top right koala on ground
3421	green shrubs by animal
3422	the wood in the upper right corner
3423	monkey on the ground
3424	right bear
3425	koala bottom
3426	animal to the right
3427	animal on lower branch
3428	right koala
3429	animal right
3430	pool
3431	meant path trees
3432	ground
3433	sky
3434	wall
3435	face
3437	bird on bottom center image facing right
3438	bottom left open space
3439	bottom middle bird facing right
3440	any bird top half of photo
3441	three birds close together bottom middle right
3442	anywhere towards the top before the water
3443	the white part at the topp
3444	middle desk with girl in black shirt
3445	desk front left
3446	adults
3447	windows at the top
3448	desk that boy in white shirt is sitting in in front
3449	two teachers standing
3451	desk top in lower right corner
3452	bottom left table
3453	stature
3454	the short building on the far right
3455	buidling far right small one
3456	the trees on the left
3460	top so skyscrpaer maybe a sign or par of cloud
3461	bushes to the right aobove fence
3462	cloud on left
3463	top right sky
3464	the big sign
3465	botom left
3466	fntel sign
3467	tallest white bldg
3468	front water
3469	sky
3470	mountains
3471	person
3472	rocks around guy
3473	mtn
3474	rock bottom left
3475	sky
3476	a curtain
3477	bed left
3479	wall
3480	right bed
3481	top right window
3483	red chair
3485	red chair near blue table
3486	the empty red chair
3487	blue table bottom front
3488	pink table on rt
3489	the ground
3490	red chair 
3491	first tabel
3493	teacher
3494	red chair on the right
3495	first boy bottom right
3496	empty red chair
3497	red chair
3498	yellow table
3499	bottom left child
3500	wall to near the book shelfs
3501	red table
3502	ground far right  or far left
3504	pink table
3505	red table
3506	pink/red table
3507	red chair
3509	middle bin
3510	front most can
3511	grass
3512	click furthest can looks like it has yellow lid
3513	right trash can
3514	right garbage
3515	7es\
3516	left garbage can
3517	trash can front
3518	large white yacht bottom left
3519	biggest ship lower left
3520	boat on bottom right
3521	water
3522	sky
3523	van left
3524	the person on the far left
3525	2nd guy from right in front
3526	the person in dark blue
3527	far left car
3528	man 2nd from left
3529	sky
3530	the ground around the group of people
3531	person in blue 4th in from right
3532	van left
3533	red shirt peson
3534	first person with helmet from the left
3535	the mountain range
3537	bikes
3538	guy in blue shirt no helmet with sunglasses
3539	helmet dude black jacket
3540	man on far rt
3541	tall guy left
3542	van on left
3543	left car
3545	people in background on right
3546	car on left
3547	left woman
3548	headboard
3549	bed on left
3551	lamp
3552	middle bed
3553	floor beneath bed on right
3554	bed on very far right
3555	left bed
3556	bed left
3557	left bed
3558	bed on the left
3559	water
3560	right hat
3561	right most hat
3562	first lady from left her hat 
3563	hat on woman second from right
3564	hat far right
3565	hat on right
3566	black hat on far left
3567	anything bottom of pic
3568	right hat
3569	trees
3570	hat in middle
3571	left hat
3572	hat in center/eft
3573	sky
3574	hat right
3575	hat far right
3576	tree on left
3577	any of the spider tree area in the bottom right
3578	sky
3580	yellow hill
3581	left tree
3582	tree left
3583	green tree on left
3584	tree right
3585	sky
3586	close tree
3591	brown road
3592	snow in foreground of statue
3593	trees along the left side
3594	far bottom
3596	sky
3597	right flamingo
3598	flamingos
3599	water upper left
3600	trees
3602	black stuff beside guy in red
3603	chair
3605	dude
3607	blk ans white thingy left
3608	sand bottom right
3609	*wall
3610	brown box 
3612	shoe
3614	building on left
3615	left palm tree
3617	the mesh/grate looking stuff covering the window() lower left area™
3618	palm tree on right
3620	sky left
3622	white wall on left side
3623	gate at bottom
3625	far right i meant
3627	left most light pole
3628	the rightmost lamppost
3629	front right bench
3630	white flowers bottom right
3631	bench on the lower left
3632	far left palm trr
3633	paves part in front
3634	yellow part of big building 
3635	tree leaves on very left
3636	lightpost
3637	yellow building far right
3638	lamp post on the far right
3639	people on the left
3640	the flag at top of building\
3641	waterfountain
3642	the palm tree furthest to the right
3643	pole
3644	flowers in foreground
3645	grass
3646	sky
3648	big tree middle
3649	rightmost person
3650	the people in the middle
3651	the ground
3652	left person
3653	sky
3654	bus
3655	bridge
3656	tree on left
3657	bottom right
3658	sky
3659	blue sky at top
3660	shrub bottom right
3661	biggest rock
3662	blue girl on left
3663	second picture on the left from the top
3664	pony tail lady on right forefront
3665	gated area in the middle
3666	candle on table
3667	group far back
3668	hat on computer
3669	mirror on left wall
3670	big top picture on right
3671	top left corner
3673	table
3674	countertop right
3675	large picture up from the center door 
3676	top left hanging on the white wall (face image)
3677	ground in ront of peeps
3678	mountain
3679	steps
3680	sky
3681	people
3682	any person
3683	person in the bavery background
3684	sky
3685	any people
3686	plane
3687	plane
3688	green left
3689	bottom left corner
3692	mid left bundle of things
3693	bags on ground bottom left
3695	hat
3697	face
3698	wall
3699	desk
3700	kid
3701	ground left
3703	truck left
3704	yellow flowers on right
3705	sky
3706	road
3707	the chinese thing
3708	any person
3710	sky
3711	windows of that thing
3712	brown spot in front
3714	bottom left
3715	grass in front right blue jacket guy
3716	grass beneath far right wall
3717	lower stone wall
3718	bottom half of pic
3719	luggage on rack
3720	windows of drivers side
3721	sky
3722	car
3723	statue in the very middle
3724	bottom leftish lightpole
3725	lampost bottom
3726	fountain
3727	stairs
3728	tree on left 
3730	building right / white
3731	trees froeground
3732	left building
3733	bottom part of wall on left
3734	mountain at top
3735	bottom left
3736	iceberg to the left
3737	white ice floating in water near brown 
3738	bot right
3741	the guys hat
3742	green left
3743	goat
3744	dat nigga in the fedora
3745	woman on right
3747	bottom right bush
3748	green bag
3749	sidewalk
3750	 tan building 
3751	people
3753	closest water
3757	right
3761	water at bottom of screen
3762	person on left
3763	water in betwwen the two right boaters
3764	tall trees right side
3765	sky
3768	trees left
3769	the water to the bottom
3770	water bottom
3771	center person
3773	boat
3774	boat
3777	the glowing hanging lamps
3778	asphalt
3779	ppl on left
3780	sky
3781	water
3782	people
3783	bush back right
3784	bench near bird house
3785	walkway
3786	bench close to bottom
3787	middle bell
3788	bottom right corner
3789	tree on far left
3790	top let roof
3791	plant at fron bottom of page
3792	small birdhouse with pink top on the right
3793	the cage in the tree
3794	metal thing with bells
3795	engine
3796	top right sky away from smoke
3797	blue sky on the right
3799	smoke from train
3800	train green part
3801	long log coming towards us
3802	blue sky around the steam
3803	upper left hand corner of pic
3804	weird looking kid
3805	ladys hat
3806	kids hat
3807	the red hat the child is holding
3808	person in black clothes
3809	ass of animal in  middle
3810	llama on the left
3811	indian person
3812	middle animal
3814	the black hat
3816	llama n back
3817	llama right one of lady
3818	grass
3819	middle sheep
3820	people
3821	the sky
3822	the steps to the bottom right
3823	peak
3824	boy anywhere
3825	ground
3826	sky
3827	left animal
3828	grass on the most left
3829	water
3830	left animal
3831	lama to the left
3832	sky
3833	snow caps back
3834	brown hill at back
3835	the area on the right with the bushes in the background
3836	animal on the left
3837	1st animal on the left
3838	most bottom middle (white areas)
3839	green
3840	animal on left
3841	a llama looking around
3842	red building right
3843	my bad boxes on right
3844	stuff lower left
3845	sky
3847	building way on top of hill
3848	the building
3849	grren on right
3851	guy in black jacket facing us
3852	ground
3853	van
3854	red bike on top of the car
3856	bike 
3857	sky
3858	king of the world
3859	clouds
3861	water
3862	boat
3863	upper right corner sky
3864	people
3865	grass front right
3866	the thing they are sitting on
3870	sky
3871	foliage on right behin people
3872	bottom right corner
3873	trees
3874	number 18 or number 4
3875	yellow wall
3876	floor
3877	anywhere on the bed
3878	green curtain
3879	brown/right
3880	night stand left
3881	the lamp to the right
3882	blue part of sky
3884	blue sky bits 
3885	sky no clouds
3887	people by the lake and that last one took forever to submit for some reason
3888	clouds
3889	trees any
3890	area surrounding water
3892	sidewalk
3893	buildings skyline
3894	blue part of sky
3895	any tree™
3896	water
3897	sky
3898	left bush 
3899	left teepee hut thing
3901	people
3903	hills in background
3904	ground
3905	teepee on right
3906	bottom grass
3907	the ruins
3908	rock in center of pic
3909	lower left (haha)
3910	sky clouds
3911	water
3913	dead branches on the far right
3914	the person on the second horse form the left
3915	horse far far right
3916	bush bottom
3917	yellow rock bottom left
3918	horse at edge of water
3919	the horse in the middle still in the water
3920	the closest left horse
3921	pink back pack on left
3922	third horse from left 
3923	second horse from the left
3924	people in center
3925	up green
3926	far right middle
3927	train
3928	right the green trees
3929	sky in top left
3930	fence
3931	trees in the upper right corner
3932	grass right side
3934	grass left
3935	any area of walkway
3936	clouds
3937	trees left
3939	bike
3940	biker
3942	road
3943	water
3944	couds
3945	blue sky
3946	boat
3947	patch of white wall behing white hair
3948	men
3950	window right 
3951	window far right
3952	in middle
3953	the cards the man in the red is holding
3954	window far right
3955	far right window
3956	far top right
3957	bit of chair back by left guy's ear
3958	first window on the left
3959	right curtain
3960	table
3961	black night
3962	ground on the right by couch
3963	white cup left corner of table
3965	white cup on table far left
3966	the flowers in the basket
3967	wood panneling to the right
3968	white cup in front on the left
3969	guy in blue left
3970	table
3971	white cup all the way to left on table
3972	guy on far right
3975	curtain left
3976	basket on table
3977	bottle near guy in yellow t-shirt
3979	thing on wall top right
3981	table
3982	the table
3983	people in middle
3984	table
3985	table
3986	center table
3987	person in black and red stripe 
3989	plate ground
3990	man in tan shirt
3991	bush in middle
3992	grass to the left
3993	person all the way on the right
3994	sky
3995	lower left plate yellow food
3996	people right side
3998	stone walls
4001	beer bottle on right
4002	far back left person
4003	yellowish food square shape at bottom
4004	wall of building
4005	top left
4006	yellow thing in bottom center
4007	a door way
4008	old gramps left side
4009	front coral
4010	center front
4011	top left coral looking thing
4012	white patch
4013	bottom middle
4014	submit! good
4015	plant bottom left
4016	bottom left plant
4017	sky
4018	trees lower right
4019	sky
4020	dark green grass strip
4021	road
4022	light grass on left
4023	car
4024	pillows
4025	curtain
4026	blue curtain on right
4027	art on right wall
4028	pillows on the bed
4029	bed
4030	floor bottom left
4031	light entering window
4032	yellow wall
4034	left most water
4035	rock lower right
4036	middle dark wood panels
4037	sky left
4038	wall closest to us runs into other fence
4039	bottom left corner
4042	green and white tiny thing on the right bottom corner
4043	small window 2nd from bottom left
4044	small tree far left
4045	building
4047	concrete at bottom
4048	top right
4049	the tree in center
4050	main door of the house (on the right)
4053	sky
4054	sky
4055	bottom right
4056	bottom left
4057	boy in orange sweater
4058	tall man's shirt
4059	clouds near horizon on left
4061	guy in blue
4063	brown and white shirt
4064	the mans shirt
4065	man in blue shirt in front
4066	orange shirt
4067	boys pants
4068	the little boy's yellow sweater
4069	pants of the adult male
4070	plaid shirt
4071	flannel
4072	small child holding hands with man
4074	the man's head
4078	plaid shirt
4079	boy's sweater holding man's hands
4080	people
4081	blue cargo pants
4082	center person
4084	guy on left
4085	right man
4086	man on left in gray sweater
4087	jeans of man on right
4088	flowers on tree
4089	right man's pants
4090	pants of man on right
4091	bottom right
4092	the ugly pant on the right
4093	right shirt
4094	left persons pants
4095	window on far right
4098	floor 
4100	thing the front guy is sitting on
4101	window in the back
4102	most right black curtain
4103	black curtain on left
4104	chair thing that guy in white is sitting on (white shoes)
4105	the middle curtain
4106	chair in the middle the person wearing red is in
4107	left window
4108	table on left
4109	any person
4110	curtain on far right
4111	seat that the manon the left is sitting on
4112	black curtain second from right
4113	right window
4114	grey lower wall to the left
4116	leftmost man
4117	dude in red
4118	far right person
4119	woman in middle beige pants
4120	2nd from right
4121	flower
4123	brown left
4124	top right
4125	yellow flower at top
4126	person
4127	door
4128	sand bottom
4129	whiter sand
4130	sky
4131	bed to the left
4132	backpack leaning against the wall onthe right
4133	something grey on the bed on the left edge of pic
4134	green and black bag on floor
4135	the white part on the bottom right
4137	black and green bag
4138	nightstand
4139	iteam at bottom of picture
4140	bottom left corner
4143	window
4146	background hill on left
4147	sky
4148	the cactus
4149	grass
4150	sky
4151	tree trunk
4152	palm tree with leaves swaying middle
4153	middle tree
4154	tree in front
4155	mountains in th eback
4156	sky
4158	grassy area in the bottom middle
4159	orange mountain right lower
4160	bottom left 
4163	ocean
4164	sky
4165	bottom middle
4166	roof
4167	rock wall
4168	sky
4169	the sand
4170	mountains
4171	people
4172	stick of wood
4173	thanks! flag over people
4174	the sign on top of the building on the left
4175	group
4176	roof 
4178	sky
4179	sign
4180	group of people
4181	ground bottom left
4182	man
4183	right forest
4185	rock
4187	sand to the left beside big ear
4188	face
4189	boy
4190	top left rocks
4191	top right
4192	the mountain at the top
4194	buildings
4195	right bottom
4196	top mountain
4197	ground
4198	first small bush
4199	second tree front right
4200	red
4201	top right corner
4203	sky
4204	tree left
4205	sky
4206	the water
4207	tree right  ---->
4208	ground
4209	couple closest
4210	sky
4211	building on right
4212	ground on left
4213	monkey
4214	top right grass
4215	sky left
4216	rainforest
4217	very center of picture
4218	sky middle top
4219	sky top left
4220	hills
4221	wild weeds
4222	sky on right
4223	right bed
4224	floor
4225	left bed
4227	airconditioner
4228	curtain
4229	the right animal
4230	dear
4231	animal right
4232	sky
4233	anywhere on the land
4234	animal in front
4235	bottom most animal
4236	gazelle in the middle
4237	animal towards center
4238	right animal
4239	middle animal
4240	dark brown hill in back
4241	top dog
4242	yellow coat
4243	ground
4244	little kid
4245	guys in black in back
4246	horse
4247	that lady that looks so fucking happy to be riding that mule
4248	water
4249	water
4250	little boy's hat
4251	donkey
4252	kid right front
4253	child
4254	boy
4255	water
4256	lower right boy
4257	kid far right bottom
4258	horse nose
4259	little kid holding horse
4260	child black jacket
4261	donkey
4262	animal
4263	donkey
4264	water
4265	little kid
4266	boy right
4267	boy right
4268	horse
4269	water only
4271	water
4272	boy standing on right
4273	man in front on left
4274	bottom left
4276	clouds in the middle
4277	bottom middle
4278	the clear sky
4279	path
4280	holla atcha boy! bed at the bottom
4281	lamp
4282	door
4283	wall
4284	chair 
4286	window
4287	bed left
4288	the bedside table
4290	sky light
4291	sky
4292	people
4293	yellow awning in background
4295	ground
4296	sky
4297	merchant things right
4298	light top rightish
4300	ceiling with the light shining through
4302	sky light
4303	bottom right corner
4304	my bad top left corner
4305	sign 36
4306	person on the right
4307	girl in middle
4308	top right
4309	tent on right
4310	tent left
4311	right tent
4312	left tent
4313	left part of the sky
4314	grass 
4315	tent left
4316	left tent 
4317	the tent on the left
4318	the biggest building
4319	rt mtn
4320	tent left
4321	cloud
4323	very top sky
4324	top
4325	people
4326	people
4327	sign
4328	sky
4329	ground
4330	brown hills in back
4331	bottom left thing
4332	door top left
4333	people
4334	picture
4335	white wall left
4336	picture on wall by piano
4338	stool the lady is sitting on 
4340	door left
4341	top right patch of wall
4342	piano
4343	door left
4345	very top center painting
4346	the door on the far left
4347	pictures on the wall on the right
4348	door on the left
4351	left door
4353	monument
4354	sky
4355	bottom left
4356	building on right
4357	leftmost building
4358	tall building left
4359	top left corner
4360	far left building
4361	left building
4362	tallest cactus 
4363	goup of cactus 2nd from left
4364	sky
4365	bottom middle 
4366	cactus group near the bottom center
4367	sand
4368	fronds on the lower hald
4369	sky
4370	mountains in the back
4371	spaghetti in the middle
4372	face
4373	hat
4374	sand
4375	sand upper right corner
4376	rightmost raft 
4377	boat in front
4378	boat right side middle portion
4379	people in nearest boat
4380	blue raft all the way to the left
4381	right hand red raft
4382	dirty water
4383	most right boat
4385	trees
4386	most upper part of pic middle
4387	bottom center
4388	dude climbing ladder
4389	flag
4391	ladder on left
4392	red shirt
4393	upper left sky
4394	shorter person in the box
4396	sky
4397	water left side
4398	the tree that's closest
4399	blue sky
4400	center far trees
4401	sky
4402	trees in the background to the right
4403	middle white animal
4404	animal on far left side
4406	front llama
4407	2 rightmost llamas
4408	ground in back
4410	man
4412	center horse
4413	white horse that isn't cut off
4414	grass
4415	lountain left side
4416	there is a snowcapped mountain range in the center of the picture
4417	sky
4418	right horse
4419	white horse being ridden
4420	grass lower left
4421	horse of man in white cap
4422	the black horse on the right hand side with 2 peeps on it 
4423	middle white horse
4424	the animal on the far right
4425	light area bottom right corner
4426	water bottle on left
4427	white hat
4428	bottom left corner
4429	water
4430	brick in front
4431	lady on right
4432	blue
4434	guy on black float
4435	fountain bottom right 
4436	top left corner
4437	green on the right middle
4439	lit up buildings on left side middle
4440	water
4441	the empty area in the trees bottom leftish of the pic
4442	bottom screen trees
4443	the city lit by sunlight
4444	steps
4445	steps right
4446	people
4447	windows top
4448	sky
4449	boat
4450	the white waves on the right side of the boat
4451	the big blue ocean!
4452	mountains
4453	2nd to last on far left
4454	guy in red shirt
4455	left corner
4456	green shorts
4457	man in left in red
4458	:)  lit bit of scalloped roof middle
4459	(sorry!) 3rd person from left in red shirt
4460	upper right section of wall
4461	4th person from the left
4462	ceiling at very top left
4463	person farthest left
4464	grass bottom right
4465	grp on left
4466	far left side grass
4468	person with hat on right
4471	far right gent
4472	ground sandy part bottom of picture
4473	sand
4474	people on right
4475	mountain
4478	the van
4479	sky top left
4480	face
4482	sky left by childs hair/ear
4483	roof 2nd to left
4484	window far right
4486	those balls
4488	buildings right
4489	the motorcycle on the bottom in the middle
4490	roof 2nd to left
4491	trees left just off center
4492	houses left
4494	top left corner sky
4495	window of pink house righ lower
4496	gray wall far left
4497	yellow roof on furthest building
4498	roof left 
4499	sky top left
4500	street
4501	second blue windows from left
4502	road
4503	the sky right
4504	shrubs and brush
4506	green hills
4507	trees on very far right
4508	sidewalk
4509	tree closest left side
4513	road
4514	black car
4517	sky
4518	right building
4519	ground
4520	statue on right
4521	object on ground in center
4522	blue sky
4523	blue sky
4524	2nd statue left
4525	statue right side
4526	white building
4527	leftmost statue
4528	any of the cloud
4529	right hand guy purple
4530	red guy right
4531	right people
4532	bottom right corner
4533	right red shirt dude
4534	the group on the left
4535	sky
4536	cloud far right
4537	man in red maroon pantsuit on right
4538	rightmost person in dark red
4539	bottom left corner
4541	snow far left middle
4542	right mountain
4543	house on right
4545	tallest trees
4546	house middle covered in snow
4547	mountains in the back that the russians are hiding in right side
4548	trees on left
4549	trees bottom right middle
4550	coca cola bottle in center
4551	wall
4553	light
4554	bottle in back of table mid pic
4555	front bottle
4556	bottle thing middle back of table
4557	top right corner
4558	people
4560	table
4561	plate with pasta
4562	bag end table
4564	naokin front
4566	bottle in the middle with red label
4567	small bowl center
4569	picture hanging on the wall
4571	bottle in back middle
4572	left bottle rack
4575	middle person
4577	left wine rack
4578	wine rack top right
4579	the drinks on the table
4582	left person
4583	chair the man  in red is sitting on
4584	face of fat lady
4588	bowl middle right brown very small
4590	wine left top of guy
4591	bottles top right corner
4593	napkin rack on the table
4594	wine rack abve man in purple/maroon
4595	the table cloth handing down with wild pattern
4598	sky
4600	man
4601	top of drawing on back wall on left
4602	small yellow balloon right side of bunch in far back
4603	party hat on 2nd person back on right
4604	white cup deade center
4605	hat right back
4607	chair far away 2nd from left
4609	flower arrangement in front
4610	bottom middle water bottle
4611	tv in back of room
4613	people on right
4614	ballon directly up from center of pic
4616	blue thermos very bottom
4617	yellow flower in middle 
4618	beer bottom middle bottom
4619	flower centerpiece yellow and white about center of pic 
4621	second hat from left side
4622	yellow balloon in the top right
4623	yellow part on bottom
4625	hat of first man on the left
4626	diabetic man 3rd back on left
4627	yellow balloon on the wall top right
4628	guy with cigarette
4629	yellow flowers front
4630	flower
4631	yellow ballon on table closest to lady in white jacket
4632	balloon in center looks like being hel up by a stick
4633	wall
4634	women in white on left
4636	very right clown hat
4637	top right
4638	hat olde man left middle
4639	flower middle
4641	the middle yellow ballon in the far group
4642	the party hat on the person on the right
4644	empty chair lower right
4645	flowers middle front
4646	people
4647	sdky
4648	guy in red shirt
4649	sand
4650	man nearest
4652	white shirt
4653	woman in the back in black
4654	white board left woman's sitting on
4655	car left
4656	car on left
4657	car left
4658	the blue car lower left
4659	statue
4660	tiny car far left
4661	dark car on left
4662	ground on the left
4663	bottom right
4665	crane
4668	sky
4669	second doorway center left
4670	rock wall bottom right
4671	dark area on the left in far left arch
4672	doorway far right
4673	white hat on the woman
4675	rock bottom right
4676	anyone
4678	small patch of green on right
4679	bottom
4685	bus
4686	topleft cloud
4687	blue sky
4688	bottom left corner
4689	any person
4690	sky upper right hand corner
4691	bush bottom right
4692	sky
4693	btoom left corner
4694	boy
4695	third white one
4696	kangroo white top right
4697	front kanga
4698	white kangaroo on the right
4699	the ground
4700	2nd from top left white kanga
4701	the white kangaroo closest to the camera
4702	white kangaroo right
4703	rightest white kangaroo
4704	green bowl 
4705	green food in bowl farthest away
4706	white thing beside girl with red hair
4707	third container down
4708	chipmunk foods in orange dressed woman's palm
4709	the bowl of bean on the bottom 
4711	peeps
4712	bowl of food farthest away
4713	green food in dish
4714	blue blanket they are sitting on
4716	green dish
4717	bowl in front
4718	topmost dish
4720	white sky upper left
4721	striped tablecloth on ground click in fron of woman earing white pants knees
4722	tupperware lower left
4723	dish girl on left
4725	plate in hand light blue shirt on right
4726	tupperware on left bottom
4727	tupperware front left
4728	any clear part of blanket
4729	sand
4730	the tupperware container nearest to us
4731	plates on the towel center right
4732	lower left basket
4733	tupperware bottom left
4736	food container of girl in blue at top left side 
4737	top right
4738	red cup on blanket
4739	plate the left person is holding
4740	held by lady
4741	first container of food held on the left
4742	any one of them ppl
4743	their take-out bag
4744	food guy in middle holding
4746	coke on the left
4747	glasses left
4748	second person on left from front
4749	the face of the lady in the front row wearing red
4750	canopy
4751	any person
4752	man's face on right
4754	glasses
4755	left guy face
